"","date","stream","mean.daily.q","min.daily.q","max.daily.q","sd.daily.q","mean.daily.t","min.daily.t","max.daily.t","sd.daily.t"
"2683",2021-11-28,"towr",0.411476217013889,0.3909587,0.4345774,0.00682367577273801,7.67494097222222,6.144,9.6,1.16339299820851
"2684",2021-11-28,"ws55",0.240868007291667,0.2376659,0.2438741,0.00119225587368813,6.74728472222222,4.804,8.79,1.18539072000287
"2685",2021-11-29,"towr",0.391863493055556,0.3689451,0.4277563,0.00936231439897835,6.98931944444444,5.959,8.38,0.633325613835221
"2686",2021-11-29,"ws55",0.240496903125,0.2368251,0.2435903,0.00127508344451569,5.02388888888889,3.513,6.667,0.897425393023487
"2687",2021-11-30,"towr",0.377048452083333,0.3540496,0.3992351,0.0113014949857881,6.71707291666667,4.905,8.72,1.29553751301393
"2688",2021-11-30,"ws55",0.239062096180556,0.2362653,0.2427399,0.0015898990529016,5.4166875,2.799,8.03,1.93620511579624
"2689",2021-12-01,"towr",0.385068351388889,0.3679432,0.4075913,0.00931373652563341,8.13199305555556,6.111,10.64,1.46894926536027
"2690",2021-12-01,"ws55",0.240509916666667,0.2362653,0.2433067,0.00138530489251517,7.80651736111111,5.613,9.96,1.42515419290866
"2691",2021-12-02,"towr",0.401754954641923,0.3770047,0.577872177181007,0.0404485092458025,9.07220125786164,NA,11.1,0.800786518272198
"2692",2021-12-02,"ws55",0.239578036458333,0.2348684,0.2427399,0.00188841717319692,9.72173611111111,8.45,11.41,0.939144343201514
"2693",2021-12-03,"towr",0.412183572507097,0.382198520981754,0.586549278208353,0.0402178889859412,NA,NA,-Inf,NA
"2694",2021-12-03,"ws55",0.239733316666667,0.2348684,0.2435903,0.0020974267423968,10.0252430555556,8.61,11.89,0.993802367824242
"2695",2021-12-04,"towr",0.409254881300508,0.382418159370316,0.560165785727357,0.0343307482410183,NA,NA,-Inf,NA
"2696",2021-12-04,"ws55",0.239648779513889,0.2354267,0.2435903,0.00198412711826272,10.3696527777778,9.08,12.06,0.975944044487875
"2697",2021-12-05,"towr",0.412836560444577,0.38152618693544,0.594349322469253,0.0465844369626028,NA,NA,-Inf,NA
"2698",2021-12-05,"ws55",0.239452278819444,0.2331972,0.2433067,0.00197950258007722,10.6165625,9.32,12.4,0.905737608962551
"2699",2021-12-06,"towr",0.683045952059245,0.381693673319735,1.19990309939483,0.273328502540333,NA,NA,-Inf,NA
"2700",2021-12-06,"ws55",0.267993504513889,0.1937227,0.4168271,0.0538274465791699,11.1621527777778,8.53,12.37,0.721586679105595
"2701",2021-12-07,"towr",0.763506320366556,0.725350168607774,0.811250490691664,0.0206015612313871,NA,NA,-Inf,NA
"2702",2021-12-07,"ws55",0.180490405555556,0.1670563,0.2017117,0.00793489228182401,7.34354513888889,5.274,9.06,1.20421110905353
"2703",2021-12-08,"towr",0.966698536579031,0.383892274416608,4.08877070869027,0.745565085423051,NA,NA,-Inf,NA
"2704",2021-12-08,"ws55",0.310747376041667,0.1670563,1.314485,0.174561653488014,8.04535069444444,6.573,9.65,0.77922210736911
"2705",2021-12-09,"towr",0.856493207720214,0.68958737252113,1.28018075543945,0.10214458419599,NA,NA,-Inf,NA
"2706",2021-12-09,"ws55",0.124263775833333,0.05577442,0.2404787,0.0663380805596861,6.18647569444444,4.749,7.997,0.949636702641068
"2707",2021-12-10,"towr",0.881433943046394,0.813552538551889,0.919563661618216,0.022463275696766,NA,NA,-Inf,NA
"2708",2021-12-10,"ws55",0.0728006638888889,0.05839226,0.08319909,0.00692417405756911,8.28899652777778,6.205,10.88,1.73665907682447
"2709",2021-12-11,"towr",0.920540573658449,0.690747630495886,1.43198380133116,0.150933840314361,NA,NA,-Inf,NA
"2710",2021-12-11,"ws55",0.177758437326389,0.08285342,0.444487,0.11212834310848,11.9257986111111,9.25,14.07,1.02998294414254
"2711",2021-12-12,"towr",0.845355745763824,0.623773219426829,0.920941886598101,0.0708403255765036,NA,NA,-Inf,NA
"2712",2021-12-12,"ws55",0.116588787534722,0.08285342,0.1836344,0.0237363615133879,6.71925,4.822,9.21,1.10267151675719
"2713",2021-12-13,"towr",0.89276391728989,0.834029309675074,0.932191373107053,0.0168871184805666,NA,NA,-Inf,NA
"2714",2021-12-13,"ws55",0.0737978809722222,0.05987048,0.08511206,0.00637098627112877,5.89178819444444,3.855,7.975,1.35230116442405
"2715",2021-12-14,"towr",0.844153746156952,0.773812966287758,0.908337599628183,0.018223639894177,NA,NA,-Inf,NA
"2716",2021-12-14,"ws55",0.0568992110416667,0.05307125,0.06425332,0.00217892873018911,6.43802777777778,4.137,8.85,1.44981273304458
"2717",2021-12-15,"towr",0.826037061374799,0.662451105832933,0.867615199950267,0.0446499131748091,NA,NA,-Inf,NA
"2718",2021-12-15,"ws55",0.0554889677430556,0.0512574,0.06136569,0.00202827698237344,7.40220486111111,5.651,8.81,0.923748775961987
"2719",2021-12-16,"towr",0.858061648054462,0.775808136609759,0.932788678465903,0.0269662093864281,NA,NA,-Inf,NA
"2720",2021-12-16,"ws55",0.0595223966666667,0.05237018,0.08096414,0.00429786935854823,10.0535069444444,8.01,12.11,1.21745229783864
"2721",2021-12-17,"towr",0.823167148234243,0.65925682860424,0.9114264867464,0.05197364305387,NA,NA,-Inf,NA
"2722",2021-12-17,"ws55",0.0563733922222222,0.05153456,0.06502338,0.00288961398335932,11.0567361111111,9.92,12.58,0.896359131813927
"2723",2021-12-18,"towr",1.05145561393891,0.696580610277931,3.18935909187587,0.417530872834645,NA,NA,-Inf,NA
"2724",2021-12-18,"ws55",0.222079652777778,0.06409982,0.7682517,0.158121571350426,11.4892708333333,10.36,12.45,0.705384336572786
"2725",2021-12-19,"towr",0.884652255475933,0.746607517658528,1.01838016686222,0.0402245937883929,NA,NA,-Inf,NA
"2726",2021-12-19,"ws55",0.1060478371875,0.05927715,0.1851318,0.0244386145389736,10.4789236111111,8.12,11.83,1.04706885769307
"2727",2021-12-20,"towr",0.894241035403651,0.862612718513186,0.924124918013541,0.0147272193272397,NA,NA,-Inf,NA
"2728",2021-12-20,"ws55",0.0714893965277778,0.06211966,0.08371882,0.00628845153833966,6.63118055555556,5.115,8.06,0.805317810338546
"2729",2021-12-21,"towr",0.881910912206696,0.595188012722738,1.07070202887228,0.0683484620540673,NA,NA,-Inf,NA
"2730",2021-12-21,"ws55",0.0804022271180556,0.05606256,0.1611433,0.0272219331263747,5.82369097222222,4.622,7.451,0.867580868107217
"2731",2021-12-22,"towr",0.769788869677574,0.381893301656002,0.969498054761216,0.214954564984736,NA,NA,-Inf,NA
